episode_id,state_id,task,round,observed_persistence_logit,predicted_persistence_logit,termination_advantage,estimated_continue_value,estimated_outside_value,cost_component,progress_component,generic_latent_value
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:0,bandit,0,4.203889734292549,1.8273975348980027,0.5,0.5,0.0,0.0,0.0,0.5
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:1,bandit,1,3.0075990353171704,1.8273975348980027,0.5,0.5,0.0,0.0,-2.0,0.5
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:2,bandit,2,3.7234445810050545,1.8273975348980027,0.5,0.5,0.0,0.0,3.0,0.5
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:3,bandit,3,3.2234445810050545,2.435596869656354,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:4,bandit,4,1.4287006782765204,2.435596869656354,1.3333333333333337,1.3333333333333337,0.0,0.0,-2.0,1.3333333333333337
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:5,bandit,5,3.0075990353171704,2.435596869656354,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:6,bandit,6,2.7254126516016477,2.7396965370355293,1.75,1.75,0.0,0.0,3.0,1.75
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:7,bandit,7,2.031150136248314,2.7396965370355293,1.75,1.75,0.0,0.0,-2.0,1.75
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:8,bandit,8,1.6787006782765204,2.7396965370355293,1.75,1.75,0.0,0.0,-2.0,1.75
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:9,bandit,9,0.826413277982752,2.7396965370355293,1.75,1.75,0.0,0.0,-2.0,1.75
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:10,bandit,10,0.2676750576056008,2.7396965370355293,1.75,1.75,0.0,0.0,-2.0,1.75
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:11,bandit,11,0.376928011042974,2.7396965370355293,1.75,1.75,0.0,0.0,-2.0,1.75
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:0,bandit,0,4.203889734292549,1.8273975348980027,0.5,0.5,0.0,0.0,0.0,0.5
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:1,bandit,1,4.42870067827652,2.435596869656354,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:2,bandit,2,3.6368710061149017,1.8273975348980027,0.5,0.5,0.0,0.0,-2.0,0.5
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:3,bandit,3,4.71393946547494,2.1923171357530133,1.0,1.0,0.0,0.0,3.0,1.0
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:4,bandit,4,3.8288897342925488,2.435596869656354,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:5,bandit,5,3.686967589003199,2.6093681081587397,1.5714285714285716,1.5714285714285716,0.0,0.0,3.0,1.5714285714285716
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:6,bandit,6,2.92974463538566,2.283547035966766,1.125,1.125,0.0,0.0,-2.0,1.125
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:7,bandit,7,1.951413277982752,2.03013064648412,0.7777777777777777,0.7777777777777777,0.0,0.0,-2.0,0.7777777777777777
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:8,bandit,8,3.92358735157374,2.1923171357530133,1.0,1.0,0.0,0.0,3.0,1.0
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:9,bandit,9,3.6949361996449746,2.3250151724275625,1.1818181818181817,1.1818181818181817,0.0,0.0,3.0,1.1818181818181817
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:10,bandit,10,4.52975041827262,2.435596869656354,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:11,bandit,11,4.27975041827262,2.5291659980807153,1.4615384615384617,1.4615384615384617,0.0,0.0,3.0,1.4615384615384617
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:12,bandit,12,3.3199361996449746,2.348711250405161,1.2142857142857144,1.2142857142857144,0.0,0.0,-2.0,1.2142857142857144
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:13,bandit,13,4.0380413716877825,2.435596869656354,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:14,bandit,14,4.15864569998304,2.5116217865011476,1.4375,1.4375,0.0,0.0,3.0,1.4375
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:15,bandit,15,3.79858735157374,2.3640440067436064,1.2352941176470589,1.2352941176470589,0.0,0.0,-2.0,1.2352941176470589
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:16,bandit,16,3.0429990792290873,2.2328637580702364,1.0555555555555554,1.0555555555555554,0.0,0.0,-2.0,1.0555555555555554
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:17,bandit,17,4.643149927917811,2.3075549044440695,1.1578947368421053,1.1578947368421053,0.0,0.0,3.0,1.1578947368421053
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:18,bandit,18,4.151300195186874,2.3747769361805187,1.25,1.25,0.0,0.0,3.0,1.25
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:19,bandit,19,4.251929081345374,2.3747769361805187,1.25,1.25,0.0,0.0,-2.0,1.25
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:20,bandit,20,4.328889734292549,2.2618256311539677,1.0952380952380951,1.0952380952380951,0.0,0.0,-2.0,1.0952380952380951
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:21,bandit,21,5.54858735157374,2.3250151724275625,1.1818181818181817,1.1818181818181817,0.0,0.0,3.0,1.1818181818181817
