r_squared,mse,pearson_r,log_loss,brier,auc,model,code,information_set,sharing,task,states,episodes
-0.002015861354095705,2.3256971532507293,1.7101033262022243e-16,0.6157860788809038,0.16529656330525647,0.5,intercept,M0,observable,task_specific,bandit,1800,78
-0.0033796603946789627,1.5385605021744098,0.0,0.7223927703387848,0.2615047896388181,0.5,intercept,M0,observable,task_specific,foraging,364,118
-0.0001145357452034812,6.781592092508784,0.0,0.7768774237007995,0.29127618235619696,0.5,intercept,M0,observable,task_specific,solvability,313,118
0.5051679021328982,1.148514355642441,0.711291945118427,0.5189482246478496,0.1540697023961778,0.8198921721456193,time,M1,observable,task_specific,bandit,1800,78
0.6015800244704718,0.6109285067487877,0.7758849839183107,0.6610557871256496,0.22916963484035027,0.7286585365853658,time,M1,observable,task_specific,foraging,364,118
0.16910329100433152,5.6341572390186325,0.4196760479504948,0.6847283776126732,0.2412690166015081,0.6991758241758241,time,M1,observable,task_specific,solvability,313,118
0.19323929113386384,1.8725063707364475,0.4428386197750916,0.5655642023695684,0.16003063477089152,0.7844648655166178,previous_outcome,M2,observable,task_specific,bandit,1800,78
0.6532486322748663,0.5317009896802112,0.8088966274725127,0.6496957422233252,0.2252172776965906,0.760334849111203,previous_outcome,M2,observable,task_specific,foraging,364,118
0.5416400826677172,3.108054007621693,0.7369997490737387,0.649739912696171,0.21709374714479554,0.7257326007326007,previous_outcome,M2,observable,task_specific,solvability,313,118
0.38174966960690826,1.4349703321546716,0.6285798668215795,0.5343722006029771,0.15568103432667102,0.8095830713713602,streak,M3,observable,task_specific,bandit,1800,78
0.6287763965617794,0.5692261825401573,0.7931336543188257,0.6516658311242303,0.22573360328749292,0.7521186440677966,streak,M3,observable,task_specific,foraging,364,118
0.3720511933610505,4.258004967830956,0.6138208115772694,0.6830538577141799,0.22723994678423112,0.7130865166579452,streak,M3,observable,task_specific,solvability,313,118
0.7564031501663798,0.565392746810714,0.869840569523902,0.4446809340742921,0.13653726626133705,0.8487395681718356,choice_inertia,M4,observable,task_specific,bandit,1800,78
0.6699334466268061,0.5061168590053781,0.8187659495574878,0.6468477502444268,0.22250366256930107,0.7473129392310872,choice_inertia,M4,observable,task_specific,foraging,364,118
0.6651213680177488,2.270750200534604,0.8158815778807342,0.5784382951349891,0.1934004887714926,0.787611198325484,choice_inertia,M4,observable,task_specific,solvability,313,118
0.78280718911548,0.5041084891590849,0.8847736155540976,0.4492572801196486,0.1372872202179597,0.851099379042468,finite_history,M5,observable,task_specific,bandit,1800,78
0.6699722047108136,0.5060574282041094,0.8187832546797396,0.6464500503441589,0.22232154471920057,0.7486392448670249,finite_history,M5,observable,task_specific,foraging,364,118
0.6589205046919464,2.312797110357444,0.8123698172822448,0.5758368293249689,0.19352342953947974,0.7904020582592011,finite_history,M5,observable,task_specific,solvability,313,118
0.28188141439232306,1.6667663803118375,0.5330824989454779,0.5525502531596495,0.15775306050008767,0.7951959762640921,rescorla_wagner,M6,observable,task_specific,bandit,1800,78
0.2868548310455733,1.65522298923541,0.5373880415745621,0.555833951806922,0.15778211859562347,0.7901835312761065,bayesian,M7,observable,task_specific,bandit,1800,78
0.5534829355206118,1.0363742788804116,0.7453475629456049,0.49319481877309873,0.1462488027677183,0.8237677739404535,value_history_hybrid,M8,observable,task_specific,bandit,1800,78
0.051265483073090534,2.202030177671898,0.22867304209948125,0.5944077527318775,0.16264931000852872,0.6307283547639758,termination_advantage,M9,observable,task_specific,bandit,1800,78
0.0700684712445494,1.425936737951231,0.2703974200123928,0.7071655467901448,0.2534253927950714,0.560011023839052,termination_advantage,M9,observable,task_specific,foraging,364,118
0.03649524252394454,6.533347942518941,0.2001847639814517,0.8162189307978722,0.30485037324418374,0.5167669631955346,termination_advantage,M9,observable,task_specific,solvability,313,118
0.19481297775447548,1.8688538152881542,0.4417651961491744,0.5655864979193453,0.1582562111913045,0.6236575346005115,sticky_termination,M10,observable,task_specific,bandit,1800,78
0.7329186614124252,0.4095367034419226,0.8583384922569132,0.6400743242876307,0.22156058049349822,0.7461588810803362,sticky_termination,M10,observable,task_specific,foraging,364,118
0.16795378537796135,5.64195182452606,0.41469085721280574,0.7187743166143312,0.2560247714560617,0.6211843711843712,sticky_termination,M10,observable,task_specific,solvability,313,118
0.27235881293570796,1.6888685125767526,0.5239117514665144,0.5517301977339416,0.15681465699929847,0.7088734056204838,decomposed_meta_control,M11,observable,task_specific,bandit,1800,78
0.6686766777395067,0.5080439610253651,0.8179991943461125,0.6375503289592389,0.22082454627903686,0.731638418079096,decomposed_meta_control,M11,observable,task_specific,foraging,364,118
