model,kind,reference,task,information_set,sharing,metric,estimate,ci_low,ci_high,samples,clusters
intercept,metric,,bandit,observable,task_specific,r_squared,-0.006760239822893137,-0.03465507526697047,-7.598660299462664e-06,2000,78
intercept,metric,,bandit,observable,task_specific,mse,2.326635121755776,1.9774717873315253,2.6822605017249943,2000,78
intercept,metric,,bandit,observable,task_specific,log_loss,0.6161103768437044,0.5100777923418559,0.7417467034693339,2000,78
intercept,metric,,bandit,observable,task_specific,brier,0.16538847755272884,0.1353361604555807,0.20099699114704275,2000,78
intercept,metric,,foraging,observable,task_specific,r_squared,-0.0076762287303003595,-0.03457478989380984,-1.2681692268101675e-05,2000,59
intercept,metric,,foraging,observable,task_specific,mse,1.5382886665149378,1.2748578023916832,1.8060578371571536,2000,59
intercept,metric,,foraging,observable,task_specific,log_loss,0.7226951456728625,0.67198175441387,0.7788080067048642,2000,59
intercept,metric,,foraging,observable,task_specific,brier,0.2616447590427152,0.23816955341534402,0.28761937675934773,2000,59
intercept,metric,,solvability,observable,task_specific,r_squared,-0.00944553379107917,-0.0488917927810053,-9.059471378214522e-06,2000,59
intercept,metric,,solvability,observable,task_specific,mse,6.773318511438381,5.17051356989422,8.650465018188488,2000,59
intercept,metric,,solvability,observable,task_specific,log_loss,0.7771491844607895,0.7425731609211682,0.8096100288902021,2000,59
intercept,metric,,solvability,observable,task_specific,brier,0.2914103452007938,0.2743408548406094,0.30743561399540725,2000,59
intercept,metric,,macro,observable,task_specific,r_squared,-0.007960667448090888,-0.02538365085205984,-0.0006477521150754573,2000,196
intercept,metric,,macro,observable,task_specific,mse,3.5460807665696983,2.9908282032837663,4.196079296156383,2000,196
intercept,metric,,macro,observable,task_specific,log_loss,0.7053182356591188,0.6637754522543088,0.7524743639886008,2000,196
intercept,metric,,macro,observable,task_specific,brier,0.23948119393207928,0.2251060116683682,0.2552118211655138,2000,196
time,metric,,bandit,observable,task_specific,r_squared,0.5023774250685741,0.42870388728888287,0.5672658420340042,2000,78
time,metric,,bandit,observable,task_specific,mse,1.1476465133247067,0.998571559508672,1.2991405667429161,2000,78
time,metric,,bandit,observable,task_specific,log_loss,0.5183576650486921,0.4091698792510476,0.669765994243179,2000,78
time,metric,,bandit,observable,task_specific,brier,0.15393523040561843,0.12261430067106717,0.19053777320807241,2000,78
time,metric,,foraging,observable,task_specific,r_squared,0.597007367659446,0.528943095932365,0.6519144997251626,2000,59
time,metric,,foraging,observable,task_specific,mse,0.6110680867617495,0.542783746101972,0.6829569124911393,2000,59
time,metric,,foraging,observable,task_specific,log_loss,0.6619299953554776,0.5563653930235348,0.7912168453799284,2000,59
time,metric,,foraging,observable,task_specific,brier,0.22949714851187536,0.18959133768297728,0.278031255976288,2000,59
time,metric,,solvability,observable,task_specific,r_squared,0.15868440811543444,0.04329964262682713,0.24339920248281743,2000,59
time,metric,,solvability,observable,task_specific,mse,5.635990706269483,4.3067470359977404,7.105664976137811,2000,59
time,metric,,solvability,observable,task_specific,log_loss,0.6853947993751991,0.63102010373424,0.7432317487009334,2000,59
time,metric,,solvability,observable,task_specific,brier,0.241543424575141,0.21780053147843909,0.2672038156207631,2000,59
time,metric,,macro,observable,task_specific,r_squared,0.4193564002811515,0.36990362331553556,0.4608519533870613,2000,196
time,metric,,macro,observable,task_specific,mse,2.464901768785313,2.0135256823262764,2.9552299164942197,2000,196
time,metric,,macro,observable,task_specific,log_loss,0.6218941532597896,0.5673909514841976,0.6881785095893559,2000,196
time,metric,,macro,observable,task_specific,brier,0.20832526783087826,0.1897251683581943,0.23032105936957595,2000,196
previous_outcome,metric,,bandit,observable,task_specific,r_squared,0.18857392748799146,0.10416642756205845,0.26063498461081147,2000,78
previous_outcome,metric,,bandit,observable,task_specific,mse,1.873721044644333,1.63423886338903,2.1258401476394795,2000,78
previous_outcome,metric,,bandit,observable,task_specific,log_loss,0.5638014526083748,0.45900560649742433,0.6757583776846788,2000,78
